#,Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
359,"THB 1,143.33 - THB 1,146.53",9,"1,144.61",0.62,9,"1,144.61",69.35,100.00%
360,"THB 1,146.53 - THB 1,149.72",7,"1,148.56",0.75,7,"1,148.56",106.64,100.00%
361,"THB 1,149.72 - THB 1,152.92",4,"1,150.32",0.34,4,"1,150.32",86,100.00%
362,"THB 1,152.92 - THB 1,156.11",5,"1,154.15",0.32,5,"1,154.15",63.87,100.00%
363,"THB 1,156.11 - THB 1,159.30",6,"1,157.72",0.38,6,"1,157.72",63.87,100.00%
364,"THB 1,159.30 - THB 1,162.50",4,"1,160.57",0.71,4,"1,160.57",177.5,100.00%
365,"THB 1,162.50 - THB 1,165.69",8,"1,164.20",0.73,8,"1,164.20",90.73,100.00%
366,"THB 1,165.69 - THB 1,168.88",7,"1,167.17",0.85,7,"1,167.17",121.8,100.00%
367,"THB 1,168.88 - THB 1,172.08",9,"1,170.38",1.12,9,"1,170.38",124.68,100.00%
368,"THB 1,172.08 - THB 1,175.27",8,"1,173.53",1.08,8,"1,173.53",135.61,100.00%
369,"THB 1,175.27 - THB 1,178.46",7,"1,176.99",0.49,7,"1,176.99",70.33,100.00%
370,"THB 1,178.46 - THB 1,181.66",2,"1,179.52",0.13,2,"1,179.52",63.87,100.00%
371,"THB 1,181.66 - THB 1,184.85",26,"1,182.19",3.61,25,"1,182.21",144.37,96.15%
372,"THB 1,184.85 - THB 1,188.05",9,"1,186.32",0.79,9,"1,186.32",87.91,100.00%
373,"THB 1,188.05 - THB 1,191.24",5,"1,189.87",0.61,5,"1,189.87",121.31,100.00%
374,"THB 1,191.24 - THB 1,194.43",9,"1,192.52",0.65,9,"1,192.52",72.41,100.00%
375,"THB 1,194.43 - THB 1,197.63",12,"1,196.17",1.67,12,"1,196.17",139.15,100.00%
376,"THB 1,197.63 - THB 1,200.82",8,"1,199.08",0.59,8,"1,199.08",73.36,100.00%
377,"THB 1,200.82 - THB 1,204.01",5,"1,202.42",0.32,5,"1,202.42",64.23,100.00%
378,"THB 1,204.01 - THB 1,207.21",7,"1,205.75",0.96,7,"1,205.75",137.67,100.00%
379,"THB 1,207.21 - THB 1,210.40",9,"1,208.88",0.57,9,"1,208.88",63.87,100.00%
380,"THB 1,210.40 - THB 1,213.59",8,"1,211.88",0.83,8,"1,211.88",104.21,100.00%
381,"THB 1,213.59 - THB 1,216.79",5,"1,215.88",0.46,5,"1,215.88",91.98,100.00%
382,"THB 1,216.79 - THB 1,219.98",6,"1,218.53",0.38,6,"1,218.53",63.87,100.00%
383,"THB 1,219.98 - THB 1,223.18",4,"1,221.95",0.19,4,"1,221.95",47.91,100.00%
384,"THB 1,223.18 - THB 1,226.37",7,"1,224.84",0.66,7,"1,224.84",93.61,100.00%
