Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
THB 831.09 - THB 834.28,24.00,834.16,2.67,24.00,834.16,111.14,1.00
THB 834.28 - THB 837.46,27.00,836.67,2.54,26.00,836.73,97.55,0.96
THB 837.46 - THB 840.65,14.00,840.83,1.08,13.00,840.85,83.20,0.93
THB 840.65 - THB 843.83,22.00,843.56,3.81,22.00,843.56,173.27,1.00
THB 843.83 - THB 847.01,25.00,846.00,1.92,24.00,846.01,80.02,0.96
THB 847.01 - THB 850.20,21.00,849.88,5.15,19.00,850.10,271.02,0.90
THB 850.20 - THB 853.38,18.00,852.82,2.31,18.00,852.82,128.49,1.00
THB 853.38 - THB 856.57,14.00,854.79,1.06,13.00,854.80,81.71,0.93
THB 856.57 - THB 859.75,17.00,859.60,2.38,17.00,859.60,140.23,1.00
THB 859.75 - THB 862.94,20.00,862.28,3.25,19.00,862.33,171.08,0.95
THB 862.94 - THB 866.12,21.00,865.26,1.92,20.00,865.24,95.95,0.95
THB 866.12 - THB 869.30,17.00,869.09,1.57,17.00,869.09,92.47,1.00
THB 869.30 - THB 872.49,18.00,872.09,1.99,16.00,871.86,124.53,0.89
THB 872.49 - THB 875.67,17.00,875.11,2.77,17.00,875.11,163.11,1.00
THB 875.67 - THB 878.86,25.00,878.95,3.16,23.00,878.95,137.44,0.92
THB 878.86 - THB 882.04,11.00,881.00,2.06,11.00,881.00,187.29,1.00
THB 882.04 - THB 885.23,14.00,884.06,0.99,11.00,884.21,89.75,0.79
THB 885.23 - THB 888.41,12.00,887.81,2.47,12.00,887.81,205.79,1.00
THB 888.41 - THB 891.59,19.00,891.28,3.42,18.00,891.31,189.92,0.95
THB 891.59 - THB 894.78,19.00,893.97,2.77,19.00,893.97,145.96,1.00
THB 894.78 - THB 897.96,12.00,897.23,1.23,12.00,897.23,102.42,1.00
THB 897.96 - THB 901.15,19.00,900.49,3.12,19.00,900.49,163.98,1.00
THB 901.15 - THB 904.33,19.00,904.37,1.82,18.00,904.52,100.91,0.95
THB 904.33 - THB 907.52,25.00,906.98,2.25,23.00,907.06,97.93,0.92
THB 907.52 - THB 910.70,368.00,911.57,37.66,352.00,911.55,107.00,0.96
THB 910.70 - THB 913.88,174.00,911.96,15.13,170.00,911.92,88.97,0.98
THB 913.88 - THB 917.07,11.00,916.97,1.71,11.00,916.97,155.47,1.00
THB 917.07 - THB 920.25,13.00,919.99,1.80,13.00,919.99,138.25,1.00
THB 920.25 - THB 923.44,13.00,922.92,2.79,13.00,922.92,214.57,1.00
THB 923.44 - THB 926.62,10.00,925.64,1.35,10.00,925.64,135.40,1.00
THB 926.62 - THB 929.81,18.00,929.44,1.79,18.00,929.44,99.20,1.00
THB 929.81 - THB 932.99,20.00,933.15,2.85,20.00,933.15,142.29,1.00
THB 932.99 - THB 936.17,18.00,935.91,2.26,18.00,935.91,125.62,1.00
THB 936.17 - THB 939.36,36.00,939.40,3.90,35.00,939.32,111.30,0.97
THB 939.36 - THB 942.54,47.00,942.05,6.54,46.00,942.08,142.13,0.98
THB 942.54 - THB 945.73,42.00,944.87,4.57,41.00,944.90,111.35,0.98
THB 945.73 - THB 948.91,15.00,948.81,2.92,14.00,948.65,208.69,0.93
THB 948.91 - THB 952.10,19.00,951.95,2.18,17.00,951.81,128.50,0.89
THB 952.10 - THB 955.28,18.00,954.36,2.22,18.00,954.36,123.44,1.00
THB 955.28 - THB 958.46,21.00,957.68,4.11,21.00,957.68,195.70,1.00
THB 958.46 - THB 961.65,21.00,961.27,2.23,21.00,961.27,106.30,1.00
THB 961.65 - THB 964.83,8.00,963.21,0.62,8.00,963.21,77.51,1.00
THB 964.83 - THB 968.02,17.00,967.06,2.37,17.00,967.06,139.38,1.00
THB 968.02 - THB 971.20,8.00,970.57,1.87,8.00,970.57,233.54,1.00
THB 971.20 - THB 974.39,12.00,974.29,1.04,12.00,974.29,86.67,1.00
THB 974.39 - THB 977.57,13.00,977.57,1.17,12.00,977.42,97.44,0.92
THB 977.57 - THB 980.75,8.00,981.20,2.02,8.00,981.20,252.31,1.00
THB 980.75 - THB 983.94,14.00,982.17,1.61,14.00,982.17,114.72,1.00
THB 983.94 - THB 987.12,11.00,986.40,1.06,11.00,986.40,96.58,1.00
THB 987.12 - THB 990.31,8.00,989.65,0.51,8.00,989.65,63.75,1.00
THB 990.31 - THB 993.49,10.00,993.31,1.29,10.00,993.31,129.43,1.00
THB 993.49 - THB 996.68,9.00,996.69,1.15,8.00,997.05,144.03,0.89
THB 996.68 - THB 999.86,12.00,999.65,1.07,10.00,998.96,106.90,0.83
"THB 999.86 - THB 1,003.04",12.00,1003.14,0.83,12.00,1003.14,69.15,1.00
"THB 1,003.04 - THB 1,006.23",12.00,1007.46,1.55,10.00,1007.84,155.30,0.83
"THB 1,006.23 - THB 1,009.41",9.00,1008.92,0.93,9.00,1008.92,103.03,1.00
"THB 1,009.41 - THB 1,012.60",12.00,1012.62,2.32,12.00,1012.62,193.41,1.00
"THB 1,012.60 - THB 1,015.78",8.00,1016.26,0.38,8.00,1016.26,47.84,1.00
"THB 1,015.78 - THB 1,018.97",12.00,1018.32,0.62,11.00,1018.30,56.44,0.92
"THB 1,018.97 - THB 1,022.15",8.00,1021.86,0.99,8.00,1021.86,123.59,1.00
"THB 1,022.15 - THB 1,025.33",5.00,1025.17,0.63,5.00,1025.17,126.83,1.00
"THB 1,025.33 - THB 1,028.52",9.00,1028.04,1.45,8.00,1027.77,181.01,0.89
"THB 1,028.52 - THB 1,031.70",8.00,1031.20,0.94,7.00,1030.70,134.85,0.88
"THB 1,031.70 - THB 1,034.89",3.00,1037.46,0.13,3.00,1037.46,42.59,1.00
"THB 1,034.89 - THB 1,038.07",10.00,1036.86,1.23,9.00,1036.70,136.13,0.90
"THB 1,038.07 - THB 1,041.26",7.00,1042.60,0.48,7.00,1042.60,68.11,1.00
"THB 1,041.26 - THB 1,044.44",8.00,1043.51,0.92,8.00,1043.51,115.25,1.00
"THB 1,044.44 - THB 1,047.62",11.00,1046.28,1.30,11.00,1046.28,117.85,1.00
"THB 1,047.62 - THB 1,050.81",9.00,1049.45,0.63,8.00,1049.13,78.77,0.89
"THB 1,050.81 - THB 1,053.99",9.00,1054.13,1.45,8.00,1054.22,181.05,0.89
"THB 1,053.99 - THB 1,057.18",14.00,1057.12,1.69,14.00,1057.12,120.79,1.00
"THB 1,057.18 - THB 1,060.36",14.00,1060.63,1.97,13.00,1060.48,151.83,0.93
"THB 1,060.36 - THB 1,063.54",11.00,1064.04,1.45,11.00,1064.04,131.52,1.00
"THB 1,063.54 - THB 1,066.73",13.00,1066.92,1.31,12.00,1066.73,109.32,0.92
"THB 1,066.73 - THB 1,069.91",8.00,1069.29,1.09,8.00,1069.29,136.07,1.00
"THB 1,069.91 - THB 1,073.10",13.00,1073.23,2.61,13.00,1073.23,200.72,1.00
"THB 1,073.10 - THB 1,076.28",5.00,1077.57,0.57,5.00,1077.57,114.07,1.00
"THB 1,076.28 - THB 1,079.47",15.00,1078.24,1.78,13.00,1078.34,136.79,0.87
"THB 1,079.47 - THB 1,082.65",13.00,1081.78,1.79,13.00,1081.78,137.75,1.00
"THB 1,082.65 - THB 1,085.83",14.00,1085.21,1.54,12.00,1085.50,128.07,0.86
"THB 1,085.83 - THB 1,089.02",15.00,1088.78,2.06,15.00,1088.78,137.50,1.00
"THB 1,089.02 - THB 1,092.20",9.00,1093.28,0.99,9.00,1093.28,109.93,1.00
"THB 1,092.20 - THB 1,095.39",5.00,1096.24,0.59,4.00,1095.89,148.37,0.80
"THB 1,095.39 - THB 1,098.57",7.00,1099.11,0.82,7.00,1099.11,117.46,1.00
"THB 1,098.57 - THB 1,101.76",9.00,1100.05,2.10,8.00,1099.85,262.12,0.89
"THB 1,101.76 - THB 1,104.94",9.00,1105.04,1.16,9.00,1105.04,128.80,1.00
"THB 1,104.94 - THB 1,108.12",13.00,1106.96,2.79,13.00,1106.96,214.83,1.00
"THB 1,108.12 - THB 1,111.31",4.00,1110.18,0.19,3.00,1110.21,63.73,0.75
"THB 1,111.31 - THB 1,114.49",17.00,1113.70,1.67,17.00,1113.70,98.28,1.00
