Advertisers,Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
traveloka.com,THB 238.82 - THB 242.00,5.00,241.06,0.26,4.00,240.64,63.80,0.80
traveloka.com,THB 242.00 - THB 245.19,12.00,244.42,0.76,12.00,244.42,63.71,1.00
traveloka.com,THB 245.19 - THB 248.37,5.00,246.39,0.21,3.00,246.52,68.63,0.60
traveloka.com,THB 248.37 - THB 251.56,7.00,249.95,0.51,7.00,249.95,73.18,1.00
traveloka.com,THB 251.56 - THB 254.74,8.00,252.80,0.38,7.00,252.73,54.66,0.88
traveloka.com,THB 254.74 - THB 257.93,4.00,256.34,0.19,3.00,256.66,63.66,0.75
traveloka.com,THB 257.93 - THB 261.11,8.00,259.43,0.62,8.00,259.43,77.70,1.00
traveloka.com,THB 261.11 - THB 264.29,7.00,263.04,0.45,7.00,263.04,63.78,1.00
traveloka.com,THB 264.29 - THB 267.48,2.00,266.17,0.13,2.00,266.17,63.70,1.00
traveloka.com,THB 267.48 - THB 270.66,4.00,268.53,0.25,4.00,268.53,63.70,1.00
traveloka.com,THB 270.66 - THB 273.85,5.00,272.00,0.25,4.00,272.11,63.64,0.80
traveloka.com,THB 273.85 - THB 277.03,3.00,275.61,0.19,3.00,275.61,63.72,1.00
traveloka.com,THB 277.03 - THB 280.22,2.00,278.60,0.21,2.00,278.60,103.21,1.00
traveloka.com,THB 280.22 - THB 283.40,4.00,280.92,0.19,4.00,280.92,47.74,1.00
traveloka.com,THB 283.40 - THB 286.58,3.00,285.19,0.19,3.00,285.19,63.72,1.00
traveloka.com,THB 286.58 - THB 289.77,5.00,288.10,0.19,3.00,288.29,63.66,0.60
traveloka.com,THB 289.77 - THB 292.95,6.00,291.05,0.38,6.00,291.05,63.70,1.00
traveloka.com,THB 292.95 - THB 296.14,2.00,295.06,0.13,2.00,295.06,63.63,1.00
traveloka.com,THB 296.14 - THB 299.32,3.00,297.98,0.13,2.00,298.56,63.80,0.67
traveloka.com,THB 299.32 - THB 302.51,4.00,301.09,0.06,1.00,300.80,63.63,0.25
traveloka.com,THB 302.51 - THB 305.69,3.00,303.01,0.19,3.00,303.01,63.68,1.00
traveloka.com,THB 305.69 - THB 308.87,1.00,307.01,0.06,1.00,307.01,63.63,1.00
traveloka.com,THB 308.87 - THB 312.06,3.00,310.60,0.06,1.00,310.28,63.90,0.33
traveloka.com,THB 312.06 - THB 315.24,5.00,313.84,0.32,5.00,313.84,63.68,1.00
traveloka.com,THB 315.24 - THB 318.43,4.00,316.44,0.29,4.00,316.44,73.03,1.00
traveloka.com,THB 318.43 - THB 321.61,1.00,319.50,0.06,1.00,319.50,63.72,1.00
traveloka.com,THB 321.61 - THB 324.80,5.00,323.09,0.32,5.00,323.09,63.70,1.00
traveloka.com,THB 324.80 - THB 327.98,4.00,326.23,0.19,4.00,326.23,47.76,1.00
traveloka.com,THB 327.98 - THB 331.16,2.00,330.44,0.13,2.00,330.44,63.63,1.00
traveloka.com,THB 331.16 - THB 334.35,2.00,333.31,0.13,2.00,333.31,63.81,1.00
traveloka.com,THB 334.35 - THB 337.53,1.00,335.47,0.06,1.00,335.47,63.69,1.00
traveloka.com,THB 337.53 - THB 340.72,3.00,339.61,0.19,3.00,339.61,63.74,1.00
traveloka.com,THB 340.72 - THB 343.90,2.00,342.11,0.06,1.00,342.83,63.63,0.50
traveloka.com,THB 343.90 - THB 347.09,4.00,345.39,0.19,4.00,345.39,47.79,1.00
traveloka.com,THB 347.09 - THB 350.27,3.00,349.29,0.22,3.00,349.29,73.71,1.00
traveloka.com,THB 350.27 - THB 353.45,3.00,352.40,0.19,3.00,352.40,63.75,1.00
traveloka.com,THB 353.45 - THB 356.64,3.00,354.36,0.19,3.00,354.36,63.68,1.00
traveloka.com,THB 356.64 - THB 359.82,3.00,358.21,0.19,3.00,358.21,63.67,1.00
traveloka.com,THB 359.82 - THB 363.01,3.00,361.04,0.19,3.00,361.04,63.70,1.00
traveloka.com,THB 363.01 - THB 366.19,1.00,363.29,0.06,1.00,363.29,63.63,1.00
traveloka.com,THB 366.19 - THB 369.37,3.00,369.67,0.19,3.00,369.67,63.84,1.00
traveloka.com,THB 369.37 - THB 372.56,1.00,371.13,0.23,1.00,371.13,233.35,1.00
traveloka.com,THB 375.74 - THB 378.93,2.00,376.12,0.13,2.00,376.12,63.69,1.00
traveloka.com,THB 382.11 - THB 385.30,1.00,383.20,0.06,1.00,383.20,63.63,1.00
traveloka.com,THB 385.30 - THB 388.48,1.00,388.38,0.06,1.00,388.38,63.72,1.00
traveloka.com,THB 388.48 - THB 391.66,2.00,389.96,0.13,2.00,389.96,63.67,1.00
traveloka.com,THB 391.66 - THB 394.85,1.00,394.62,0.06,1.00,394.62,63.72,1.00
traveloka.com,THB 394.85 - THB 398.03,2.00,396.07,0.13,2.00,396.07,63.72,1.00
traveloka.com,THB 398.03 - THB 401.22,1.00,399.35,0.06,1.00,399.35,63.69,1.00
traveloka.com,THB 401.22 - THB 404.40,2.00,401.92,0.13,2.00,401.92,63.75,1.00
traveloka.com,THB 404.40 - THB 407.59,4.00,406.17,0.26,4.00,406.17,64.29,1.00
traveloka.com,THB 407.59 - THB 410.77,1.00,409.41,0.06,1.00,409.41,63.90,1.00
traveloka.com,THB 410.77 - THB 413.95,2.00,411.66,0.13,2.00,411.66,63.63,1.00
traveloka.com,THB 413.95 - THB 417.14,2.00,414.35,0.13,2.00,414.35,63.67,1.00
traveloka.com,THB 417.14 - THB 420.32,2.00,418.60,0.13,2.00,418.60,63.63,1.00
traveloka.com,THB 420.32 - THB 423.51,2.00,421.30,0.13,2.00,421.30,63.67,1.00
traveloka.com,THB 423.51 - THB 426.69,1.00,426.51,0.06,1.00,426.51,63.72,1.00
traveloka.com,THB 426.69 - THB 429.88,2.00,429.50,0.13,2.00,429.50,63.76,1.00
traveloka.com,THB 433.06 - THB 436.24,2.00,434.86,0.13,2.00,434.86,63.67,1.00
traveloka.com,THB 436.24 - THB 439.43,2.00,438.18,0.06,2.00,438.18,31.81,1.00
traveloka.com,THB 439.43 - THB 442.61,1.00,441.42,0.06,1.00,441.42,63.63,1.00
traveloka.com,THB 448.98 - THB 452.17,2.00,450.76,0.13,2.00,450.76,63.63,1.00
traveloka.com,THB 461.72 - THB 464.90,1.00,462.32,0.06,1.00,462.32,63.63,1.00
traveloka.com,THB 468.09 - THB 471.27,1.00,468.69,0.06,1.00,468.69,63.72,1.00
traveloka.com,THB 471.27 - THB 474.46,1.00,472.41,0.06,1.00,472.41,63.63,1.00
traveloka.com,THB 474.46 - THB 477.64,1.00,476.67,0.00,0.00,0.00,0.00,0.00
traveloka.com,THB 480.82 - THB 484.01,1.00,482.61,0.06,1.00,482.61,63.90,1.00
traveloka.com,THB 484.01 - THB 487.19,1.00,485.42,0.06,1.00,485.42,63.63,1.00
traveloka.com,THB 490.38 - THB 493.56,3.00,492.45,0.19,3.00,492.45,63.72,1.00
traveloka.com,THB 493.56 - THB 496.75,1.00,493.80,0.06,1.00,493.80,63.72,1.00
traveloka.com,THB 503.11 - THB 506.30,1.00,502.95,0.06,1.00,502.95,63.63,1.00
traveloka.com,THB 506.30 - THB 509.48,1.00,509.44,0.06,1.00,509.44,63.72,1.00
traveloka.com,THB 509.48 - THB 512.67,4.00,510.48,0.19,3.00,510.56,63.66,0.75
traveloka.com,THB 512.67 - THB 515.85,1.00,513.74,0.06,1.00,513.74,63.63,1.00
traveloka.com,THB 519.04 - THB 522.22,1.00,519.84,0.18,1.00,519.84,180.70,1.00
traveloka.com,THB 522.22 - THB 525.40,1.00,522.64,0.06,1.00,522.64,63.63,1.00
traveloka.com,THB 531.77 - THB 534.96,1.00,533.75,0.06,1.00,533.75,63.72,1.00
traveloka.com,THB 544.51 - THB 547.69,2.00,546.83,0.13,2.00,546.83,63.66,1.00
traveloka.com,THB 547.69 - THB 550.88,2.00,548.55,0.13,2.00,548.55,63.67,1.00
traveloka.com,THB 550.88 - THB 554.06,2.00,551.06,0.13,2.00,551.06,63.70,1.00
traveloka.com,THB 554.06 - THB 557.25,1.00,557.72,0.06,1.00,557.72,63.90,1.00
traveloka.com,THB 592.27 - THB 595.46,2.00,593.75,0.30,2.00,593.75,148.52,1.00
traveloka.com,THB 601.83 - THB 605.01,3.00,602.61,0.13,2.00,602.38,63.66,0.67
traveloka.com,THB 605.01 - THB 608.19,1.00,607.24,0.06,1.00,607.24,63.63,1.00
traveloka.com,THB 611.38 - THB 614.56,1.00,611.06,0.06,1.00,611.06,63.63,1.00
traveloka.com,THB 630.48 - THB 633.67,2.00,632.23,0.13,2.00,632.23,64.82,1.00
traveloka.com,THB 633.67 - THB 636.85,1.00,634.61,0.06,1.00,634.61,63.72,1.00
traveloka.com,THB 636.85 - THB 640.04,1.00,639.83,0.06,1.00,639.83,63.72,1.00
traveloka.com,THB 640.04 - THB 643.22,1.00,642.39,0.06,1.00,642.39,63.63,1.00
traveloka.com,THB 643.22 - THB 646.41,1.00,643.98,0.06,1.00,643.98,63.63,1.00
traveloka.com,THB 671.88 - THB 675.06,1.00,672.74,0.06,1.00,672.74,63.63,1.00
traveloka.com,THB 681.43 - THB 684.62,1.00,684.26,0.06,1.00,684.26,63.90,1.00
traveloka.com,THB 713.28 - THB 716.46,1.00,716.67,0.06,1.00,716.67,63.72,1.00
traveloka.com,THB 726.01 - THB 729.20,1.00,725.59,0.06,1.00,725.59,63.63,1.00
traveloka.com,THB 732.38 - THB 735.57,1.00,732.90,0.06,1.00,732.90,63.63,1.00
traveloka.com,THB 761.04 - THB 764.22,1.00,763.32,0.06,1.00,763.32,63.63,1.00
traveloka.com,THB 786.51 - THB 789.70,1.00,789.15,0.06,1.00,789.15,63.72,1.00
traveloka.com,THB 789.70 - THB 792.88,1.00,793.97,0.06,1.00,793.97,63.90,1.00
traveloka.com,THB 811.99 - THB 815.17,1.00,812.69,0.06,1.00,812.69,63.72,1.00
traveloka.com,THB 815.17 - THB 818.36,1.00,815.14,0.06,1.00,815.14,63.63,1.00
traveloka.com,THB 891.59 - THB 894.78,1.00,894.82,0.06,1.00,894.82,63.72,1.00
traveloka.com,THB 907.52 - THB 910.70,2.00,909.67,0.35,2.00,909.67,172.78,1.00
traveloka.com,THB 917.07 - THB 920.25,1.00,917.71,0.06,1.00,917.71,63.63,1.00
traveloka.com,THB 945.73 - THB 948.91,1.00,951.54,0.06,1.00,951.54,63.90,1.00
traveloka.com,THB 977.57 - THB 980.75,1.00,980.45,0.35,1.00,980.45,345.59,1.00
traveloka.com,"THB 999.86 - THB 1,003.04",1.00,1002.60,0.13,1.00,1002.60,127.43,1.00
traveloka.com,"THB 1,060.36 - THB 1,063.54",1.00,1062.68,0.06,1.00,1062.68,63.72,1.00
traveloka.com,"THB 1,089.02 - THB 1,092.20",1.00,1089.76,0.06,1.00,1089.76,63.72,1.00
traveloka.com,"THB 1,101.76 - THB 1,104.94",1.00,1104.89,0.06,1.00,1104.89,63.72,1.00
traveloka.com,"THB 1,104.94 - THB 1,108.12",1.00,1106.55,0.06,1.00,1106.55,63.72,1.00
traveloka.com,"THB 1,111.31 - THB 1,114.49",1.00,1113.14,0.06,1.00,1113.14,63.72,1.00
traveloka.com,"THB 1,178.18 - THB 1,181.36",1.00,1182.52,0.06,1.00,1182.52,63.90,1.00
traveloka.com,"THB 1,184.55 - THB 1,187.73",1.00,1183.52,0.06,1.00,1183.52,63.63,1.00
traveloka.com,"THB 1,372.42 - THB 1,375.60",1.00,1375.71,0.06,1.00,1375.71,63.72,1.00
traveloka.com,"THB 1,452.03 - THB 1,455.21",1.00,1451.94,0.06,1.00,1451.94,63.63,1.00
traveloka.com,"THB 1,592.13 - THB 1,595.32",2.00,1954.87,0.13,2.00,1954.87,63.81,1.00
TripAdvisor Group,THB 0.00 - THB 3.18,38105.00,2.05,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 3.18 - THB 6.37,22835.00,4.49,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 6.37 - THB 9.55,9607.00,7.77,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 9.55 - THB 12.74,5326.00,11.01,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 12.74 - THB 15.92,3294.00,14.19,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 15.92 - THB 19.11,2137.00,17.43,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 19.11 - THB 22.29,1514.00,20.64,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 22.29 - THB 25.47,1167.00,23.78,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 25.47 - THB 28.66,822.00,27.03,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 28.66 - THB 31.84,714.00,30.14,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 31.84 - THB 35.03,564.00,33.42,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 35.03 - THB 38.21,441.00,36.58,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 38.21 - THB 41.40,415.00,39.86,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 41.40 - THB 44.58,330.00,42.99,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 44.58 - THB 47.76,260.00,46.16,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 47.76 - THB 50.95,233.00,49.27,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 50.95 - THB 54.13,183.00,52.54,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 54.13 - THB 57.32,172.00,55.68,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 57.32 - THB 60.50,155.00,59.00,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 60.50 - THB 63.69,135.00,62.16,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 63.69 - THB 66.87,125.00,65.39,4.66,78.00,65.41,59.69,0.62
TripAdvisor Group,THB 66.87 - THB 70.05,113.00,68.66,4.65,77.00,68.60,60.44,0.68
TripAdvisor Group,THB 70.05 - THB 73.24,78.00,71.57,3.00,51.00,71.47,58.75,0.65
TripAdvisor Group,THB 73.24 - THB 76.42,91.00,75.00,3.70,59.00,75.07,62.69,0.65
TripAdvisor Group,THB 76.42 - THB 79.61,79.00,78.15,3.19,51.00,78.03,62.54,0.65
TripAdvisor Group,THB 79.61 - THB 82.79,86.00,81.28,3.89,64.00,81.30,60.80,0.74
TripAdvisor Group,THB 82.79 - THB 85.98,58.00,84.44,2.43,41.00,84.48,59.22,0.71
TripAdvisor Group,THB 85.98 - THB 89.16,70.00,87.71,3.07,50.00,87.83,61.35,0.71
TripAdvisor Group,THB 89.16 - THB 92.34,32.00,90.86,1.28,23.00,90.71,55.72,0.72
TripAdvisor Group,THB 92.34 - THB 95.53,56.00,94.21,2.49,40.00,94.27,62.23,0.71
TripAdvisor Group,THB 95.53 - THB 98.71,44.00,97.18,2.12,34.00,97.22,62.34,0.77
TripAdvisor Group,THB 98.71 - THB 101.90,37.00,100.64,1.67,28.00,100.58,59.51,0.76
TripAdvisor Group,THB 101.90 - THB 105.08,36.00,103.68,1.54,27.00,103.75,56.88,0.75
TripAdvisor Group,THB 105.08 - THB 108.27,26.00,106.88,1.37,22.00,106.82,62.40,0.85
TripAdvisor Group,THB 108.27 - THB 111.45,33.00,109.79,1.68,26.00,109.70,64.60,0.79
TripAdvisor Group,THB 111.45 - THB 114.63,28.00,113.00,1.47,23.00,112.85,63.74,0.82
TripAdvisor Group,THB 114.63 - THB 117.82,23.00,116.44,1.09,17.00,116.62,64.29,0.74
TripAdvisor Group,THB 117.82 - THB 121.00,21.00,119.46,0.78,12.00,119.66,64.96,0.57
TripAdvisor Group,THB 121.00 - THB 124.19,19.00,122.98,0.71,11.00,122.71,64.96,0.58
TripAdvisor Group,THB 124.19 - THB 127.37,14.00,125.76,0.57,10.00,125.85,57.30,0.71
TripAdvisor Group,THB 127.37 - THB 130.55,21.00,129.08,0.78,12.00,129.13,64.95,0.57
TripAdvisor Group,THB 130.55 - THB 133.74,23.00,132.26,1.11,17.00,132.29,65.30,0.74
TripAdvisor Group,THB 133.74 - THB 136.92,16.00,135.11,0.71,11.00,135.10,64.19,0.69
TripAdvisor Group,THB 136.92 - THB 140.11,12.00,138.74,0.70,11.00,138.75,63.75,0.92
TripAdvisor Group,THB 140.11 - THB 143.29,12.00,142.26,0.65,10.00,142.22,64.63,0.83
TripAdvisor Group,THB 143.29 - THB 146.48,14.00,145.32,0.70,12.00,145.31,58.54,0.86
TripAdvisor Group,THB 146.48 - THB 149.66,14.00,148.07,0.65,10.00,148.01,64.99,0.71
TripAdvisor Group,THB 149.66 - THB 152.84,13.00,151.92,0.76,11.00,152.02,68.88,0.85
TripAdvisor Group,THB 152.84 - THB 156.03,12.00,154.47,0.51,9.00,154.64,56.73,0.75
TripAdvisor Group,THB 156.03 - THB 159.21,8.00,157.07,0.32,5.00,157.35,63.75,0.63
TripAdvisor Group,THB 159.21 - THB 162.40,7.00,161.24,0.32,5.00,161.26,63.68,0.71
TripAdvisor Group,THB 162.40 - THB 165.58,8.00,164.46,0.50,8.00,164.46,62.38,1.00
TripAdvisor Group,THB 165.58 - THB 168.77,8.00,167.24,0.56,8.00,167.24,70.09,1.00
TripAdvisor Group,THB 168.77 - THB 171.95,5.00,170.92,0.26,4.00,170.99,63.82,0.80
TripAdvisor Group,THB 171.95 - THB 175.13,9.00,173.93,0.49,7.00,174.17,69.73,0.78
TripAdvisor Group,THB 175.13 - THB 178.32,11.00,176.87,0.69,10.00,176.71,68.92,0.91
TripAdvisor Group,THB 178.32 - THB 181.50,9.00,179.95,0.57,8.00,179.90,71.06,0.89
TripAdvisor Group,THB 181.50 - THB 184.69,5.00,183.76,0.32,5.00,183.76,63.40,1.00
TripAdvisor Group,THB 184.69 - THB 187.87,8.00,186.63,0.45,7.00,186.49,63.74,0.88
TripAdvisor Group,THB 187.87 - THB 191.06,5.00,189.93,0.38,5.00,189.93,75.66,1.00
TripAdvisor Group,THB 191.06 - THB 194.24,5.00,193.14,0.38,5.00,193.14,76.34,1.00
TripAdvisor Group,THB 194.24 - THB 197.42,4.00,195.25,0.19,3.00,195.19,63.63,0.75
TripAdvisor Group,THB 197.42 - THB 200.61,2.00,199.49,0.19,2.00,199.49,95.50,1.00
TripAdvisor Group,THB 200.61 - THB 203.79,3.00,203.54,0.19,3.00,203.54,63.84,1.00
TripAdvisor Group,THB 203.79 - THB 206.98,4.00,205.57,0.28,3.00,205.78,92.43,0.75
TripAdvisor Group,THB 206.98 - THB 210.16,5.00,209.50,0.19,3.00,209.46,64.28,0.60
TripAdvisor Group,THB 210.16 - THB 213.35,4.00,212.23,0.19,3.00,211.65,63.75,0.75
TripAdvisor Group,THB 213.35 - THB 216.53,4.00,215.69,0.26,4.00,215.69,63.80,1.00
TripAdvisor Group,THB 216.53 - THB 219.71,2.00,218.64,0.13,2.00,218.64,63.90,1.00
TripAdvisor Group,THB 219.71 - THB 222.90,1.00,221.20,0.13,1.00,221.20,128.78,1.00
TripAdvisor Group,THB 222.90 - THB 226.08,2.00,224.89,0.13,2.00,224.89,63.76,1.00
TripAdvisor Group,THB 226.08 - THB 229.27,3.00,228.00,0.20,3.00,228.00,65.08,1.00
TripAdvisor Group,THB 229.27 - THB 232.45,4.00,230.15,0.32,4.00,230.15,79.86,1.00
TripAdvisor Group,THB 232.45 - THB 235.64,4.00,234.25,0.19,3.00,234.00,63.65,0.75
TripAdvisor Group,THB 235.64 - THB 238.82,1.00,238.35,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 238.82 - THB 242.00,2.00,241.03,0.22,2.00,241.03,108.68,1.00
TripAdvisor Group,THB 242.00 - THB 245.19,2.00,244.45,0.21,2.00,244.45,103.63,1.00
TripAdvisor Group,THB 245.19 - THB 248.37,3.00,246.86,0.29,3.00,246.86,95.95,1.00
TripAdvisor Group,THB 248.37 - THB 251.56,1.00,250.79,0.06,1.00,250.79,63.90,1.00
TripAdvisor Group,THB 251.56 - THB 254.74,1.00,255.07,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 257.93 - THB 261.11,1.00,261.08,0.06,1.00,261.08,63.89,1.00
TripAdvisor Group,THB 267.48 - THB 270.66,1.00,269.61,0.06,1.00,269.61,63.90,1.00
TripAdvisor Group,THB 270.66 - THB 273.85,2.00,271.55,0.13,1.00,271.22,125.98,0.50
TripAdvisor Group,THB 277.03 - THB 280.22,1.00,278.75,0.06,1.00,278.75,63.90,1.00
TripAdvisor Group,THB 283.40 - THB 286.58,3.00,285.73,0.08,1.00,286.66,81.56,0.33
TripAdvisor Group,THB 286.58 - THB 289.77,2.00,288.63,0.13,2.00,288.63,63.76,1.00
TripAdvisor Group,THB 289.77 - THB 292.95,2.00,291.76,0.07,1.00,291.27,69.51,0.50
TripAdvisor Group,THB 292.95 - THB 296.14,2.00,294.99,0.29,2.00,294.99,145.10,1.00
TripAdvisor Group,THB 296.14 - THB 299.32,1.00,298.96,0.06,1.00,298.96,63.63,1.00
TripAdvisor Group,THB 299.32 - THB 302.51,1.00,301.08,0.13,1.00,301.08,130.86,1.00
TripAdvisor Group,THB 305.69 - THB 308.87,1.00,306.18,0.13,1.00,306.18,125.65,1.00
TripAdvisor Group,THB 308.87 - THB 312.06,3.00,311.19,0.19,3.00,311.19,63.83,1.00
TripAdvisor Group,THB 315.24 - THB 318.43,2.00,315.80,0.06,1.00,315.63,63.63,0.50
TripAdvisor Group,THB 324.80 - THB 327.98,1.00,324.82,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 327.98 - THB 331.16,2.00,330.11,0.06,1.00,329.99,63.90,0.50
TripAdvisor Group,THB 337.53 - THB 340.72,1.00,340.02,0.06,1.00,340.02,63.89,1.00
TripAdvisor Group,THB 350.27 - THB 353.45,2.00,352.24,0.13,2.00,352.24,63.76,1.00
TripAdvisor Group,THB 353.45 - THB 356.64,1.00,355.56,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 359.82 - THB 363.01,1.00,360.46,0.06,1.00,360.46,63.63,1.00
TripAdvisor Group,THB 375.74 - THB 378.93,1.00,380.05,0.06,1.00,380.05,63.90,1.00
TripAdvisor Group,THB 385.30 - THB 388.48,1.00,389.32,0.06,1.00,389.32,63.90,1.00
TripAdvisor Group,THB 398.03 - THB 401.22,1.00,400.54,0.26,1.00,400.54,259.10,1.00
TripAdvisor Group,THB 404.40 - THB 407.59,1.00,407.01,0.10,1.00,407.01,102.96,1.00
TripAdvisor Group,THB 413.95 - THB 417.14,1.00,415.59,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 429.88 - THB 433.06,1.00,430.61,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 448.98 - THB 452.17,1.00,451.57,0.00,0.00,0.00,0.00,0.00
TripAdvisor Group,THB 471.27 - THB 474.46,1.00,472.20,0.19,1.00,472.20,187.07,1.00
TripAdvisor Group,THB 487.19 - THB 490.38,1.00,491.14,0.06,1.00,491.14,63.90,1.00
TUI Group,THB 3.18 - THB 6.37,6.00,4.97,0.00,0.00,0.00,0.00,0.00
TUI Group,THB 6.37 - THB 9.55,6.00,7.47,0.00,0.00,0.00,0.00,0.00
TUI Group,THB 9.55 - THB 12.74,4.00,10.29,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 0.00 - THB 3.18,240.00,2.44,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 3.18 - THB 6.37,1491.00,4.93,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 6.37 - THB 9.55,2009.00,8.04,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 9.55 - THB 12.74,2536.00,11.07,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 12.74 - THB 15.92,1939.00,14.37,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 15.92 - THB 19.11,1704.00,17.47,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 19.11 - THB 22.29,1389.00,20.70,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 22.29 - THB 25.47,1039.00,23.84,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 25.47 - THB 28.66,838.00,27.07,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 28.66 - THB 31.84,611.00,30.18,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 31.84 - THB 35.03,456.00,33.53,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 35.03 - THB 38.21,341.00,36.62,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 38.21 - THB 41.40,311.00,39.88,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 41.40 - THB 44.58,249.00,42.98,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 44.58 - THB 47.76,216.00,46.29,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 47.76 - THB 50.95,186.00,49.51,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 50.95 - THB 54.13,122.00,52.64,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 54.13 - THB 57.32,118.00,55.65,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 57.32 - THB 60.50,99.00,59.21,0.00,0.00,0.00,0.00,0.00
Tune Group,THB 60.50 - THB 63.69,117.00,62.27,0.12,2.00,61.75,60.06,0.02
Tune Group,THB 63.69 - THB 66.87,74.00,65.44,0.06,1.00,65.56,60.06,0.01
Tune Group,THB 66.87 - THB 70.05,186.00,68.75,0.13,3.00,68.91,42.53,0.02
Tune Group,THB 70.05 - THB 73.24,187.00,71.84,0.13,2.00,71.68,63.79,0.01
Tune Group,THB 73.24 - THB 76.42,160.00,74.81,1.34,26.00,75.92,51.55,0.16
Tune Group,THB 76.42 - THB 79.61,167.00,77.93,6.96,124.00,78.01,56.12,0.74
Tune Group,THB 79.61 - THB 82.79,114.00,81.45,5.81,99.00,81.46,58.69,0.87
Tune Group,THB 82.79 - THB 85.98,105.00,84.45,5.35,92.00,84.48,58.12,0.88
Tune Group,THB 85.98 - THB 89.16,98.00,87.69,4.81,79.00,87.79,60.85,0.81
Tune Group,THB 89.16 - THB 92.34,94.00,90.65,4.51,80.00,90.72,56.42,0.85
Tune Group,THB 92.34 - THB 95.53,76.00,94.10,3.47,64.00,94.11,54.26,0.84
Tune Group,THB 95.53 - THB 98.71,93.00,97.40,4.70,77.00,97.37,61.00,0.83
Tune Group,THB 98.71 - THB 101.90,86.00,100.41,4.64,77.00,100.40,60.28,0.90
Tune Group,THB 101.90 - THB 105.08,88.00,103.47,4.62,79.00,103.53,58.52,0.90
Tune Group,THB 105.08 - THB 108.27,61.00,106.65,3.13,52.00,106.71,60.12,0.85
Tune Group,THB 108.27 - THB 111.45,76.00,109.98,4.34,69.00,109.96,62.96,0.91
Tune Group,THB 111.45 - THB 114.63,83.00,112.75,4.89,76.00,112.72,64.35,0.92
Tune Group,THB 114.63 - THB 117.82,47.00,116.14,2.24,41.00,116.14,54.73,0.87
Tune Group,THB 117.82 - THB 121.00,34.00,119.68,1.81,31.00,119.61,58.29,0.91
Tune Group,THB 121.00 - THB 124.19,36.00,123.12,1.61,26.00,123.23,61.80,0.72
Tune Group,THB 124.19 - THB 127.37,42.00,126.18,2.49,40.00,126.20,62.37,0.95
Tune Group,THB 127.37 - THB 130.55,42.00,128.77,3.05,42.00,128.77,72.51,1.00
Tune Group,THB 130.55 - THB 133.74,25.00,132.47,1.18,20.00,132.55,58.80,0.80
Tune Group,THB 133.74 - THB 136.92,42.00,135.31,2.20,38.00,135.22,57.91,0.90
